"source","translation_en_US"
"Requires cavalry or mounted troops to close the encirclement.","Requires cavalry or mounted troops to close the encirclement."
"Carthage","Carthage"
"The Iron Sepulcher","The Iron Sepulcher"
"%1 has no template for this intent.","%1 has no template for this intent."
"The selection lacks the troop types this formation needs.","The selection lacks the troop types this formation needs."
"Encirclement needs at least three units.","Encirclement needs at least three units."
"Formed","Formed"
"Disrupted","Disrupted"
"Reforming","Reforming"
"Opening","Opening"
"Traversing","Traversing"
"Arrived","Arrived"
"The deployment this faction fights in by default. No setup needed.","The deployment this faction fights in by default. No setup needed."
"Widest frontage. Best for meeting an advance head on.","Widest frontage. Best for meeting an advance head on."
"Narrow and deep. Best for moving through gates and passes.","Narrow and deep. Best for moving through gates and passes."
"Compressed frontage with reserves. Best for holding ground.","Compressed frontage with reserves. Best for holding ground."
"Weighted front with skirmishers ahead. Best for breaking a line.","Weighted front with skirmishers ahead. Best for breaking a line."
"Wide flanks that close around a target. Needs cavalry.","Wide flanks that close around a target. Needs cavalry."
"Engines protected behind infantry. Needs a siege engine.","Engines protected behind infantry. Needs a siege engine."
"Frontage","Frontage"
"Narrow","Narrow"
"Balanced","Balanced"
"Wide","Wide"
"Depth","Depth"
"Shallow","Shallow"
"Deep","Deep"
"Spacing","Spacing"
"Tight","Tight"
"Normal","Normal"
"Loose","Loose"
"Left","Left"
"Split","Split"
"Right","Right"
"None","None"
"One row","One row"
"Two rows","Two rows"
"Mixed armies","Mixed armies"
"By role","By role"
"Separate contingents","Separate contingents"
"Doctrine","Doctrine"
"Reset to faction default","Reset to faction default"
"%1 m","%1 m"
"Choose a formation","Choose a formation"
"%1 · %2 units","%1 · %2 units"
"Shape","Shape"
"%1 × %2","%1 × %2"
"In place","In place"
"%1 position(s) nudged to fit the ground.","%1 position(s) nudged to fit the ground."
"Drag on the ground to set width and facing.","Drag on the ground to set width and facing."
"Click to deploy · Wheel to turn · Ctrl+wheel for depth · Right-click or Esc to cancel","Click to deploy · Wheel to turn · Ctrl+wheel for depth · Right-click or Esc to cancel"
"Hide fine tuning","Hide fine tuning"
"Fine tuning","Fine tuning"
"How wide the deployment spreads before it starts adding ranks behind.","How wide the deployment spreads before it starts adding ranks behind."
"How many ranks stand behind the front. Deeper hits harder but covers less ground.","How many ranks stand behind the front. Deeper hits harder but covers less ground."
"The gap between units. Tight holds shape better; loose loses less to area attacks.","The gap between units. Tight holds shape better; loose loses less to area attacks."
"Which wing the cavalry weights. Split puts an equal body on each wing.","Which wing the cavalry weights. Split puts an equal body on each wing."
"Cavalry wing","Cavalry wing"
"Where archers and slingers stand. Skirmish sends them out ahead and pulls them back on contact.","Where archers and slingers stand. Skirmish sends them out ahead and pulls them back on contact."
"Missile troops","Missile troops"
"In front","In front"
"Behind","Behind"
"Skirmish ahead","Skirmish ahead"
"Rows held back from the fighting line to plug gaps.","Rows held back from the fighting line to plug gaps."
"Reserve rows","Reserve rows"
"Doctrine decides","Doctrine decides"
"Reform is faster and copes with chokepoints. Maintain keeps the shape on the march but moves slower.","Reform is faster and copes with chokepoints. Maintain keeps the shape on the march but moves slower."
"On the march","On the march"
"Reform on arrival","Reform on arrival"
"Hold the shape","Hold the shape"
"How a selection drawn from several factions is arranged.","How a selection drawn from several factions is arranged."
"Follow the commander","Follow the commander"
"Follow the majority","Follow the majority"
"Sorting groups the same troop types together. Keeping the order leaves each unit where it already stands in the line.","Sorting groups the same troop types together. Keeping the order leaves each unit where it already stands in the line."
"Slot order","Slot order"
"Sort by type","Sort by type"
"Keep current order","Keep current order"
"Which drill book shapes the deployment. Automatic follows the troops you selected.","Which drill book shapes the deployment. Automatic follows the troops you selected."
"%1°","%1°"
"Drag to face the unit · Release to move it","Drag to face the unit · Release to move it"
"Wheel to turn · Esc to cancel","Wheel to turn · Esc to cancel"
"Drag to face the formation · Release to deploy","Drag to face the formation · Release to deploy"
"Wheel to turn · Ctrl+wheel for depth · Esc to cancel","Wheel to turn · Ctrl+wheel for depth · Esc to cancel"
"Drag on the ground to set facing · Click to move","Drag on the ground to set facing · Click to move"
"Wheel to turn · Right-click or Esc to cancel","Wheel to turn · Right-click or Esc to cancel"
"Position %1","Position %1"
"Position unit","Position unit"
"Facing","Facing"
"Facing (auto)","Facing (auto)"
"Formed","Formed"
"Disrupted","Disrupted"
"Forming up","Forming up"
"The line is holding its shape and takes reduced damage.","The line is holding its shape and takes reduced damage."
"The line has come apart and is taking extra damage. Re-issue the formation order to reform.","The line has come apart and is taking extra damage. Re-issue the formation order to reform."
"Units are still moving into their slots.","Units are still moving into their slots."
"Cohesion %1%","Cohesion %1%"
"%1 units","%1 units"
"Selection spans several formations.","Selection spans several formations."
"%1 slot(s) blocked by terrain.","%1 slot(s) blocked by terrain."
"In position","In position"
"Opening ranks","Opening ranks"
"Filing through","Filing through"
"The line has reached its ground and is holding it.","The line has reached its ground and is holding it."
"The ranks are opening to let the line through.","The ranks are opening to let the line through."
"The line is filing through a narrow crossing.","The line is filing through a narrow crossing."
"Formation","Formation"
"Hide this readout","Hide this readout"
"Standard of Iron — Iron and Ember Gallery","Standard of Iron — Iron and Ember Gallery"
"Scale","Scale"
"Reduce motion","Reduce motion"
"High contrast","High contrast"
"Reset","Reset"
"Iron and Ember — every control the product may use","Iron and Ember — every control the product may use"
"Cannot save: empty slot name","Cannot save: empty slot name"
"Save service is shutting down","Save service is shutting down"
"Queued","Queued"
"Serializing world","Serializing world"
"Compressing","Compressing"
"Writing","Writing"
"Exception while saving: %1","Exception while saving: %1"
"Save cancelled","Save cancelled"
"Done","Done"
"Save storage unavailable","Save storage unavailable"
"Save slot '%1' is corrupted: %2","Save slot '%1' is corrupted: %2"
"Exception while loading save '%1': %2","Exception while loading save '%1': %2"
"Cannot write '%1': %2","Cannot write '%1': %2"
"Failed to write '%1': %2","Failed to write '%1': %2"
"Cannot read '%1': %2","Cannot read '%1': %2"
"Cannot start skirmish: renderer not initialized","Cannot start skirmish: renderer not initialized"
"Save: not initialized","Save: not initialized"
"A save is already in progress","A save is already in progress"
"Queued","Queued"
"Cancelling...","Cancelling..."
"Load: not initialized","Load: not initialized"
"Cannot play replay: %1","Cannot play replay: %1"
"Cannot play replay: unknown launch kind '%1'","Cannot play replay: unknown launch kind '%1'"
"Our ally %1 has been defeated.","Our ally %1 has been defeated."
"%1 has been defeated.","%1 has been defeated."
"Our ally %1 is finished - %2 has fallen.","Our ally %1 is finished - %2 has fallen."
"%1 is finished - %2 has fallen.","%1 is finished - %2 has fallen."
"Manpower limit reached.","Manpower limit reached."
"Not enough reserve — build a home to raise more families.","Not enough reserve — build a home to raise more families."
"%1/%2 walls  •  %3 wood","%1/%2 walls  •  %3 wood"
"Low","Low"
"Medium","Medium"
"High","High"
"Ultra","Ultra"
