"source","translation_tr_TR"
"Lost. I did say this was the Barcids' kind of war. Nobody listens to the man who keeps the books until the books are empty.","Kaybedildi. Bunun Barkaların savaşı olduğunu söylemiştim. Defterleri tutan adamı, defterler boşalana dek kimse dinlemez."
"Lost. We fought their war instead of ours. Next time we choose the field before we choose the fight.","Kaybedildi. Kendi savaşımız yerine onlarınkini yaptık. Bir dahaki sefere kavgayı seçmeden meydanı seçelim."
"Lost. We ran out of arrows or out of time; in this country they are the same thing.","Kaybedildi. Ya okumuz bitti ya vaktimiz; bu ülkede ikisi aynı şeydir."
"Lost. We were quicker than we should have been, or slower. I shall spend the winter deciding which.","Kaybedildi. Ya olmamız gerekenden hızlıydık ya da yavaş. Kışı hangisi olduğuna karar vererek geçireceğim."
"Lost. We were slow when it mattered. I will say so to anyone who asks, including you.","Kaybedildi. Önemli anda ağır kaldık. Soran herkese bunu söylerim, sana da."
"More men are on the road. I did not send for them out of fear; I sent for them because there is room.","Yolda daha çok adam var. Onları korkudan çağırmadım; yer olduğu için çağırdım."
"More men coming. Not for you to see - for you to feel.","Daha çok adam geliyor. Görmen için değil; hissetmen için."
"More of mine are coming down the road. I know - I did not tell you. That was rather the idea.","Benimkilerden daha fazlası yoldan iniyor. Biliyorum, sana söylemedim. Maksat da buydu."
"More of mine are coming. I sent for them before you arrived; a hunter sets the snare before he sees the deer.","Benimkilerden daha fazlası geliyor. Sen gelmeden önce çağırmıştım; avcı, geyiği görmeden tuzağı kurar."
"More of my hired men are coming down the road. Fresh, fed, and paid. You cannot say the same for yours.","Paralı adamlarımdan daha fazlası yoldan iniyor. Dinç, tok ve ödenmiş. Seninkiler için aynısı söylenemez."
"My archers advance. When their line looks at me, it is not looking at you.","Okçularım ilerliyor. Onların hattı bana baktığında sana bakmıyordur."
"My archers are moving up. Look to your flanks; that is where the country runs thin.","Okçularım öne çıkıyor. Kanatlarına dikkat et; ülke orada incelir."
"My camp is taking hits. I can hold. I would rather kill them with you than hold without you.","Ordugâhım darbe alıyor. Dayanabilirim. Ama sensiz dayanmaktansa seninle onları öldürmeyi yeğlerim."
"My camp is taking the weight of their attack. If you were planning to come, this is the day for planning to end.","Ordugâhım saldırılarının ağırlığını taşıyor. Gelmeyi düşünüyorduysan, düşünmenin bittiği gün bugündür."
"My camp is under attack, and my archers are better at giving than taking. If you can come, come along the ridge.","Ordugâhım saldırı altında ve okçularım almaktan çok vermekte iyidir. Gelebilirsen sırttan gel."
"My camp is under attack, and my men are paid to fight, not to die. If you want them alive tomorrow, come today.","Ordugâhım saldırı altında ve adamlarıma dövüşmek için para veriliyor, ölmek için değil. Yarın sağ istiyorsan bugün gel."
"My camp is under attack. I would prefer not to be the one caught in a trap for once; if you can help, now would be poetic.","Ordugâhım saldırı altında. Bir kez olsun tuzağa düşen ben olmasam iyiydi; yardım edebilirsen şimdi tam şiirsel olurdu."
"My camp is under the hammer. If you have men to spare, spare them now; if not, I shall be curious to see what you were saving them for.","Ordugâhım çekicin altında. Fazladan adamın varsa şimdi ver; yoksa onları ne için sakladığını merak edeceğim."
"My cohorts are bleeding. Very well. Rome bleeds the way rivers do - it is how she reaches the sea.","Kohortlarım kanıyor. Olsun. Roma, nehirler gibi kanar; denize böyle ulaşır."
"My cohorts are marching on them. Watch the manoeuvre; it is not something one sees twice for free.","Kohortlarım üzerlerine yürüyor. Manevrayı izle; böylesi ikinci kez bedavaya görülmez."
"My cohorts are moving on them. Slowly. If you are quicker, be quicker where they can see it.","Kohortlarım üzerlerine gidiyor. Yavaşça. Sen daha hızlıysan, görebilecekleri yerde hızlı ol."
"My cohorts are thinning. It is a cost, and I keep the books honestly. There is still more field than you have men.","Kohortlarım seyreliyor. Bu bir maliyet ve ben defteri dürüst tutarım. Hâlâ senin adamından çok meydan var."
"My columns advance. Watch their reserve. It will move when they see me, and that is when it is yours.","Kollarım ilerliyor. İhtiyatlarını gözle. Beni görünce kımıldayacak, işte o zaman senindir."
"My columns are moving. Watch the front, by all means; someone should, and it may as well be you.","Kollarım hareket ediyor. Cepheyi elbette gözle; birinin gözlemesi lazım, o da pekâlâ sen olabilirsin."
"My line advances. Do not look for the trick; there is no trick. There is only the next step, and then the one after.","Hattım ilerliyor. Hile arama; hile yok. Yalnızca bir sonraki adım var, sonra ondan sonraki."
"My men are down in numbers. So be it. Blood is the coin, and I have always paid in full.","Adamlarım sayıca düşüyor. Olsun. Kan paradır ve ben hep tam ödedim."
"My men are dying. Good men, too. The enemy may take them; the enemy may not have my attention as well.","Adamlarım ölüyor. Hem de iyi adamlar. Düşman onları alabilir; dikkatimi de almasın."
"My men are falling. The line thins. I have fed armies on less and the hills have not run out of stone.","Adamlarım düşüyor. Hat inceliyor. Daha azıyla ordular besledim ve tepelerin taşı tükenmedi."
"My part is done. The hills kept me alive longer than the plain would have. Go on without me and win.","Benim payıma düşen bitti. Tepeler beni ovanın tutacağından uzun tuttu. Bensiz devam et ve kazan."
"My part is over. I shall be in the Council chamber by morning, explaining how it was your fault. Win anyway.","Payım sona erdi. Sabaha Meclis salonunda, bunun nasıl senin suçun olduğunu anlatıyor olacağım. Yine de kazan."
"My spears are falling. Every one is a contract I have to settle with a widow. Someone will pay for this, and it will not be me.","Mızraklılarım düşüyor. Her biri bir dulla kapatmam gereken bir sözleşme. Birileri bunun bedelini ödeyecek ve o ben olmayacağım."
"My spears are marching on them. I do not do this cheaply, so kindly make it count.","Mızraklılarım üzerlerine yürüyor. Bunu ucuza yapmıyorum, o yüzden lütfen değsin."
"My spears are moving. Every one of them is paid through the season, so they will not stop for a little dying.","Mızraklılarım hareket ediyor. Hepsinin mevsimlik ödemesi yapıldı, o yüzden azıcık ölüm için durmazlar."
"Nearly bankrupt, then. In men, I mean. I have been bankrupt before; the trick is to owe so much that they cannot afford to finish you.","Demek neredeyse iflas. Adam bakımından yani. Daha önce de iflas ettim; hile, seni bitirmeye güçlerinin yetmeyeceği kadar borçlu olmaktır."
"Nearly beaten, they tell me. I have been nearly beaten before. The word is doing a great deal of work in that sentence.","Neredeyse yenildim diyorlar. Daha önce de neredeyse yenilmiştim. O kelime bu cümlede çok ağır bir iş görüyor."
"One camp changes hands. I have lost more to a dishonest quartermaster and slept perfectly well.","Bir ordugâh el değiştiriyor. Sahtekâr bir levazımcıya bundan fazlasını kaybettim ve mışıl mışıl uyudum."
"One camp gone. I have never yet lost a war to masonry.","Bir ordugâh gitti. Hiçbir savaşı taş duvara kaybetmedim."
"One camp lost. I have lost an eye, an army and a brother, and here I still am.","Bir ordugâh kaybedildi. Bir göz, bir ordu ve bir kardeş kaybettim, hâlâ buradayım."
"Reinforcements march. Rome has a great many sons and a very short memory for their names.","Takviyeler yürüyor. Roma'nın pek çok oğlu ve adlarına dair pek kısa bir hafızası vardır."
"Reinforcements on the road. Not many. Enough to make you turn your head at the wrong moment.","Yolda takviyeler var. Çok değil. Yanlış anda başını çevirtmeye yetecek kadar."
"Reinforcements. Bought this morning, delivered this afternoon. That is what a treasury is for.","Takviyeler. Sabah satın alındı, öğleden sonra teslim edildi. Hazine bunun içindir."
"Reinforcements. Mine, I am afraid. I collect them the way others collect debts.","Takviyeler. Korkarım benimkiler. Onları başkalarının borç topladığı gibi toplarım."
"Right. You are here, I am here. No speeches. Sharpen what you have; I do not like to fight dull men.","Pekâlâ. Sen buradasın, ben buradayım. Nutuk yok. Elindekini bile; kör adamlarla dövüşmeyi sevmem."
"So it begins. Spears touch, men fall, and the wheat grows regardless. I can wait longer than you can bleed.","İşte başlıyor. Mızraklar değer, adamlar düşer, buğday yine de büyür. Ben senin kanayabileceğinden uzun bekleyebilirim."
"So it ends with a blade after all. Tell Rome I was a wolf, not a bull. She never did learn the difference.","Demek sonunda bir bıçakla bitiyor. Roma'ya bir kurt olduğumu söyleyin, boğa değil. Farkı hiç öğrenemedi."
"So the Barcids' war has found me a new opponent. Understand that I am here for the ledger, not the legend, and ledgers are much harder to kill.","Demek Barkaların savaşı bana yeni bir hasım buldu. Şunu anla: ben efsane için değil, defter için buradayım ve defterleri öldürmek çok daha zordur."
"So the arrow finds me at last. Tell my brother I held the road as long as roads can be held.","Demek ok beni sonunda buldu. Kardeşime söyleyin: yolu, yollar tutulabildiği kadar tuttum."
"So the old man falls at last. Rome will call it a tragedy for a week and a lesson for a century. Mind the lesson.","Demek yaşlı adam nihayet düşüyor. Roma buna bir hafta trajedi, bir yüzyıl ders diyecek. Derse kulak ver."
"So this is the army. I make it three cohorts and some optimism. My clerks have already drawn up the receipt for your camp; we only need the date.","Demek ordu bu. Üç kohort ile biraz iyimserlik sayıyorum. Kâtiplerim ordugâhının makbuzunu şimdiden yazdı; sadece tarih eksik."
"So. The Barcids get their wish and I get a spear. Tell the Council the books are in order. They always were.","Pekâlâ. Barkalar dileğini alıyor, ben de bir mızrak. Meclis'e defterlerin düzgün olduğunu söyleyin. Hep düzgündü."
"So. You have come to fight me. How refreshing - most of my enemies prefer to wait behind their walls until I have finished with the countryside.","Demek benimle dövüşmeye geldin. Ne ferahlatıcı; düşmanlarımın çoğu, ben kırla işimi bitirene dek surlarının ardında beklemeyi yeğler."
"Steel meets steel. Now the costs begin. I do hope you are keeping accounts, because I am.","Çelik çeliğe değdi. Şimdi masraflar başlıyor. Umarım hesap tutuyorsundur, çünkü ben tutuyorum."
"Steel. Finally. Now we find out what you are made of, and I already have a guess.","Çelik. Nihayet. Şimdi neyden yapıldığını öğreneceğiz, ki bir tahminim var."
"Take the camp. I have taken cities and given them back; the joy is in the taking, not the holding.","Ordugâhı al. Şehirler alıp geri verdim; keyif almakta, tutmakta değil."
"That camp is Rome's now. I shall let you have the wells, at the usual rate.","O ordugâh artık Roma'nın. Kuyuları sana bırakırım, her zamanki bedelle."
"That camp is mine now. I have already sold the grain in it twice. Do not look so surprised; it is how one makes a profit on war.","O ordugâh artık benim. İçindeki tahılı çoktan iki kez sattım. Öyle şaşırma; savaştan kâr böyle çıkarılır."
"That camp is mine now. I shall not do anything dramatic with it. I shall simply keep it, which is worse.","O ordugâh artık benim. Onunla dramatik bir şey yapmayacağım. Sadece elimde tutacağım, ki bu daha kötüdür."
"That camp is mine. I did not even need the elephants. I am almost disappointed.","O ordugâh benim. Fillere bile gerek kalmadı. Neredeyse hayal kırıklığına uğradım."
"That camp is mine. I did not storm it; I waited for it. There is a difference and you will feel it.","O ordugâh benim. Onu basmadım; bekledim. Arada fark vardır ve onu hissedeceksin."
"That camp is mine. Took it at the run. Did you even see the standard change?","O ordugâh benim. Koşarak alındı. Sancağın değiştiğini görebildin mi?"
"That camp is ours. I have already leased the granary. To you, actually. We can discuss terms.","O ordugâh bizim. Tahıl ambarını çoktan kiraya verdim. Aslında sana. Şartları konuşabiliriz."
"That camp is ours. I took it from the side nobody guards, which is every side, eventually.","O ordugâh bizim. Kimsenin korumadığı taraftan aldım, ki eninde sonunda her taraf öyledir."
"That camp is ours. I will hold it and keep the road open behind you. Somebody has to.","O ordugâh bizim. Onu tutacağım ve ardındaki yolu açık tutacağım. Birinin yapması lazım."
