"source","translation_pl_PL"
"Send a builder to an iron ore deposit with Collect, or leave Auto Gather running.","Wyślij budowniczego rozkazem Zbieraj do złoża rudy żelaza lub zostaw włączone auto-zbieranie."
"Home","Dom"
"Farm","Farma"
"Barracks","Koszary"
"Defense Tower","Wieża obronna"
"Marketplace","Targowisko"
"Temple","Świątynia"
"Wall Segment","Odcinek muru"
"Wall Gate","Brama w murze"
"Catapult","Katapulta"
"Ballista","Balista"
"Archer","Łucznik"
"Swordsman","Miecznik"
"Spearman","Włócznik"
"Horse Swordsman","Miecznik konny"
"Horse Archer","Łucznik konny"
"Horse Spearman","Włócznik konny"
"Healer","Uzdrowiciel"
"Builder","Budowniczy"
"Civilian","Cywil"
"Elephant","Słoń"
"Raises civilians, who carry reserve to the nearest barracks. Each one costs food.","Wychowuje cywilów, którzy niosą rezerwę do najbliższych koszar. Każdy kosztuje żywność."
"Grows grain in cycles. A builder reaps it for food once it ripens.","Uprawia zboże w cyklach. Gdy dojrzeje, budowniczy zżyna je na żywność."
"Recruits troops and receives everything your builders gather.","Rekrutuje wojsko i przyjmuje wszystko, co zbiorą twoi budowniczowie."
"Shoots at enemies that come near it.","Strzela do wrogów, którzy podejdą blisko."
"Buys and sells resources for gold.","Kupuje i sprzedaje surowce za złoto."
"Watches over a wide stretch of ground, holds a settlement together, and takes in healers.","Czuwa nad szerokim pasem terenu, spaja osadę i przyjmuje uzdrowicieli."
"Blocks enemy movement.","Blokuje ruch wroga."
"Opens for your troops and allies, shut to everyone else.","Otwiera się przed twoimi oddziałami i sojusznikami, zamknięta dla reszty."
"Long-range siege engine, best against structures.","Machina oblężnicza dalekiego zasięgu, najlepsza przeciw budowlom."
"Precise siege engine, best against units.","Celna machina oblężnicza, najlepsza przeciw jednostkom."
", and %1 more",", i %1 więcej"
"%1 %2","%1 %2"
"No resource cost","Bez kosztu surowcowego"
"%1 more %2","jeszcze %1 %2"
"Nobody is gathering it right now.","Nikt tego teraz nie zbiera."
"Builders gathering it: %1","Budowniczowie przy zbiórce: %1"
"%1 being hauled to a barracks","%1 w drodze do koszar"
"Held in your treasury; no storage limit.","Trzymane w skarbcu; bez limitu magazynu."
"Hauled to a barracks yard before it is credited. The yard looks full at %1.","Zwożone na dziedziniec koszar, zanim zostanie zapisane. Dziedziniec wygląda na pełny przy %1."
"Short %1 for a %2.","Brakuje %1 na %2."
"%1 in store: %2","%1 w zapasie: %2"
"Spent on: %1","Wydawane na: %1"
"Step 1 — Gather","Krok 1 — Zbieraj"
"Step 2 — Build","Krok 2 — Buduj"
"Step 3 — Recruit","Krok 3 — Rekrutuj"
"Step 4 — Keep an army","Krok 4 — Utrzymaj armię"
"Your settlement runs itself","Twoja osada działa sama"
"Recruit a builder at a barracks, then send it to collect wood, stone or iron.","Zrekrutuj budowniczego w koszarach, a potem wyślij go po drewno, kamień lub żelazo."
"Select a builder, press Collect, and click a tree, boulder, ore deposit, ripe farm or sheep. It hauls the load to a barracks yard, then goes back for more.","Zaznacz budowniczego, naciśnij Zbieraj i kliknij drzewo, głaz, złoże rudy, dojrzałe pole albo owcę. Zawiezie ładunek na dziedziniec koszar i wróci po następny."
"With a builder selected, press Build and place a Home to raise your reserve, or a Barracks to recruit from.","Mając zaznaczonego budowniczego, naciśnij Buduj i postaw Dom, by podnieść rezerwę, albo Koszary, by z nich rekrutować."
"Select a barracks and recruit troops. Each one costs reserve and resources, both shown on its card.","Zaznacz koszary i rekrutuj wojsko. Każda jednostka kosztuje rezerwę i surowce — jedno i drugie widnieje na jej karcie."
"Keep recruiting while your builders gather. Raise Homes and Farms when reserve or food runs out.","Rekrutuj dalej, gdy twoi budowniczowie zbierają. Gdy skończy się rezerwa lub żywność, stawiaj Domy i Farmy."
"Gathering, building and recruiting are all under way.","Zbieranie, budowanie i rekrutacja idą pełną parą."
"You have no builders. Recruit one at a barracks before you can gather or build.","Nie masz budowniczych. Zrekrutuj jednego w koszarach, zanim zaczniesz zbierać lub budować."
"Builders: %1 (%2 idle). Placing a structure sends every selected builder to the site.","Budowniczowie: %1 (bezczynni: %2). Postawienie budowli wysyła na plac wszystkich zaznaczonych budowniczych."
"Recruiting draws on the reserve held by each barracks.","Rekrutacja czerpie z rezerwy trzymanej przez każde koszary."
"Manpower %1 / %2. A Home raises civilians for %3 food each; walking a civilian into a barracks adds %4 reserve. Farms ripen every %5s and sheep yield %6 food.","Zapas ludzi %1 / %2. Dom wychowuje cywilów po %3 żywności każdy; wprowadzenie cywila do koszar dodaje %4 rezerwy. Farmy dojrzewają co %5 s, a owce dają %6 żywności."
"Needs a home","Potrzebny dom"
"Needs a barracks","Potrzebne koszary"
"Needs a builder","Potrzebny budowniczy"
"Not enough reserve at the barracks","Za mało rezerwy w koszarach"
"Manpower limit reached","Osiągnięto limit ludzi"
"Missing %1","Brakuje: %1"
"Economy guide","Przewodnik po gospodarce"
"Resources and Building","Surowce i budowanie"
"Close the economy guide","Zamknij przewodnik po gospodarce"
"Gather with builders, spend what they bring on structures, recruit from a barracks, and keep both running.","Zbieraj budowniczymi, wydawaj to, co przyniosą, na budowle, rekrutuj w koszarach i pilnuj, by jedno i drugie szło bez przerwy."
"WHAT EACH RESOURCE IS FOR","DO CZEGO SŁUŻY KAŻDY SUROWIEC"
"Spent on: %1","Wydawane na: %1"
"WHAT A BUILDER CAN RAISE","CO MOŻE WZNIEŚĆ BUDOWNICZY"
"%1 — %2 · %3s","%1 — %2 · %3 s"
"WHAT A BARRACKS CAN RECRUIT","KOGO MOGĄ REKRUTOWAĆ KOSZARY"
"%1 — %2 reserve, %3 · %4s","%1 — %2 rezerwy, %3 · %4 s"
"Back to the battle","Wróć do bitwy"
"Standard","Standardowy"
"Iron and Ember","Żelazo i żar"
"Roman Republic","Republika Rzymska"
"Senatus Populusque Romanus","Senatus Populusque Romanus"
"Carthage","Kartagina"
"Qart-Ḥadašt","Qart-Ḥadašt"
"Iron Sepulcher","Żelazny Grobowiec"
"The watch does not sleep","Straż nie śpi"
"POP","LUDNOŚĆ"
"Barracks","Koszary"
"Defense tower","Wieża obronna"
"Home","Dom"
"Wall","Mur"
"Gate","Brama"
"Marketplace","Targowisko"
"Temple","Świątynia"
"Farm","Farma"
"No units selected.","Nie zaznaczono jednostek."
"No units eligible for formation placement.","Żadna jednostka nie nadaje się do ustawienia w szyku."
"This doctrine has no template for the chosen formation.","Ta doktryna nie ma wzoru dla wybranego szyku."
"No part of this formation fits on the chosen ground.","Żadna część tego szyku nie mieści się na wybranym terenie."
"Faction Default","Domyślny dla frakcji"
"Line","Linia"
"Column","Kolumna"
"Defensive","Obronny"
"Assault","Szturm"
"Encirclement","Okrążenie"
"Siege Escort","Osłona machin"
"Reforming","Przeformowanie"
"Formed","Uformowany"
"Disrupted","Rozbity"
"Opening","Rozwijanie"
"Traversing","Przemarsz"
"Arrived","Na miejscu"
"Neutral","Neutralny"
"Roman Republic","Republika Rzymska"
"Requires at least one siege engine in the selection.","Wymaga co najmniej jednej machiny oblężniczej w zaznaczeniu."
"Requires cavalry or mounted troops to close the encirclement.","Do zamknięcia okrążenia potrzebna jest jazda lub oddziały konne."
"Carthage","Kartagina"
"The Iron Sepulcher","Żelazny Grobowiec"
"%1 has no template for this intent.","%1 nie ma wzoru dla tego zamiaru."
"The selection lacks the troop types this formation needs.","W zaznaczeniu brakuje rodzajów wojsk, których wymaga ten szyk."
"Encirclement needs at least three units.","Okrążenie wymaga co najmniej trzech jednostek."
"%1°","%1°"
"Drag to face the unit · Release to move it","Przeciągnij, by obrócić jednostkę · Puść, by ją przesunąć"
"Wheel to turn · Esc to cancel","Kółko obraca · Esc anuluje"
"Drag to face the formation · Release to deploy","Przeciągnij, by obrócić szyk · Puść, by go rozstawić"
"Wheel to turn · Ctrl+wheel for depth · Esc to cancel","Kółko obraca · Ctrl+kółko zmienia głębokość · Esc anuluje"
"Drag on the ground to set facing · Click to move","Przeciągnij po ziemi, by ustawić kierunek · Kliknij, by przesunąć"
"Wheel to turn · Right-click or Esc to cancel","Kółko obraca · Prawy przycisk lub Esc anuluje"
"Drag on the ground to set width and facing.","Przeciągnij po ziemi, by ustawić szerokość i kierunek."
"Click to deploy · Wheel to turn · Ctrl+wheel for depth · Right-click or Esc to cancel","Kliknij, by rozstawić · Kółko obraca · Ctrl+kółko zmienia głębokość · Prawy przycisk lub Esc anuluje"
"The deployment this faction fights in by default. No setup needed.","Szyk, w którym ta frakcja walczy domyślnie. Nic nie trzeba ustawiać."
"Widest frontage. Best for meeting an advance head on.","Najszerszy front. Najlepszy do przyjęcia natarcia od czoła."
"Narrow and deep. Best for moving through gates and passes.","Wąska i głęboka. Najlepsza do przechodzenia przez bramy i przełęcze."
"Compressed frontage with reserves. Best for holding ground.","Ściśnięty front z odwodami. Najlepszy do utrzymania terenu."
"Weighted front with skirmishers ahead. Best for breaking a line.","Wzmocnione czoło z harcownikami przed nim. Najlepsze do przełamania linii."
"Wide flanks that close around a target. Needs cavalry.","Szerokie skrzydła, które zamykają się wokół celu. Wymaga jazdy."
"Engines protected behind infantry. Needs a siege engine.","Machiny osłonięte za piechotą. Wymaga machiny oblężniczej."
"%1 m","%1 m"
"Position %1","Pozycja %1"
"Position unit","Ustaw jednostkę"
"Choose a formation","Wybierz szyk"
"%1 · %2 units","%1 · jednostki: %2"
"Shape","Kształt"
"%1 × %2","%1 × %2"
"Frontage","Szerokość frontu"
"Depth","Głębokość"
"Facing","Kierunek"
"Facing (auto)","Kierunek (auto)"
"In place","Na miejscu"
"%1 position(s) nudged to fit the ground.","Pozycje przesunięte, by zmieściły się na terenie: %1."
"Hide fine tuning","Ukryj dostrajanie"
"Fine tuning","Dostrajanie"
"How wide the deployment spreads before it starts adding ranks behind.","Jak szeroko rozciąga się szyk, zanim zacznie dokładać szeregi z tyłu."
"Narrow","Wąsko"
"Balanced","Zrównoważony"
"Wide","Szeroko"
"How many ranks stand behind the front. Deeper hits harder but covers less ground.","Ile szeregów stoi za czołem. Głębszy uderza mocniej, ale zajmuje mniej terenu."
"Shallow","Płytko"
"Deep","Głęboko"
"The gap between units. Tight holds shape better; loose loses less to area attacks.","Odstęp między jednostkami. Ciasny lepiej trzyma kształt; luźny mniej traci od ataków obszarowych."
"Spacing","Odstęp"
"Tight","Ciasno"
"Normal","Zwykły"
"Loose","Luźno"
"Which wing the cavalry weights. Split puts an equal body on each wing.","Na którym skrzydle stoi jazda. Podział daje równy oddział na każde skrzydło."
"Cavalry wing","Skrzydło jazdy"
"Left","Lewe"
"Right","Prawe"
"Split","Podziel"
"Where archers and slingers stand. Skirmish sends them out ahead and pulls them back on contact.","Gdzie stoją łucznicy i procarze. Harce wysyłają ich przodem i cofają przy kontakcie."
"Missile troops","Wojska strzelcze"
"In front","Z przodu"
"Behind","Z tyłu"
"Skirmish ahead","Harce przodem"
"Rows held back from the fighting line to plug gaps.","Szeregi wstrzymane za linią walki, by zatykać wyrwy."
"Reserve rows","Szeregi odwodu"
"Doctrine decides","Decyduje doktryna"
"None","Brak"
"One row","Jeden szereg"
"Two rows","Dwa szeregi"
"Reform is faster and copes with chokepoints. Maintain keeps the shape on the march but moves slower.","Przeformowanie jest szybsze i radzi sobie z wąskimi gardłami. Utrzymanie zachowuje kształt w marszu, ale idzie wolniej."
"On the march","W marszu"
"Reform on arrival","Przeformuj po dojściu"
"Hold the shape","Zachowaj kształt"
"How a selection drawn from several factions is arranged.","Jak układa się zaznaczenie złożone z kilku frakcji."
"Mixed armies","Armie mieszane"
"By role","Według roli"
"Separate contingents","Osobne kontyngenty"
"Follow the commander","Za dowódcą"
"Follow the majority","Za większością"
"Sorting groups the same troop types together. Keeping the order leaves each unit where it already stands in the line.","Sortowanie grupuje te same rodzaje wojsk razem. Zachowanie kolejności zostawia każdą jednostkę tam, gdzie już stoi w linii."
"Slot order","Kolejność miejsc"
"Sort by type","Sortuj według typu"
"Keep current order","Zachowaj obecną kolejność"
"Which drill book shapes the deployment. Automatic follows the troops you selected.","Który regulamin kształtuje rozstawienie. Automatyczny idzie za zaznaczonymi wojskami."
"Doctrine","Doktryna"
"Reset to faction default","Przywróć domyślny dla frakcji"
"Formed","Uformowany"
"In position","Na pozycji"
"Disrupted","Rozbity"
"Opening ranks","Rozwiera szeregi"
"Filing through","Przechodzi gęsiego"
"Forming up","Formuje się"
"The line is holding its shape and takes reduced damage.","Linia trzyma kształt i przyjmuje mniej obrażeń."
"The line has reached its ground and is holding it.","Linia doszła na swój teren i go trzyma."
"The line has come apart and is taking extra damage. Re-issue the formation order to reform.","Linia się rozpadła i przyjmuje dodatkowe obrażenia. Wydaj rozkaz szyku ponownie, by ją przeformować."
"The ranks are opening to let the line through.","Szeregi rozwierają się, by przepuścić linię."
"The line is filing through a narrow crossing.","Linia przechodzi przez wąską przeprawę."
