"source","translation_es_ES"
"Builders: %1 (%2 idle). Placing a structure sends every selected builder to the site.","Constructores: %1 (%2 inactivos). Al colocar una estructura, todos los constructores seleccionados van a la obra."
"Recruiting draws on the manpower held by each barracks.","Reclutar consume los efectivos disponibles en cada cuartel."
"Needs a barracks","Necesita un cuartel"
"Needs a builder","Necesita un constructor"
"Not enough manpower at the barracks","No hay suficientes efectivos en el cuartel"
"Population limit reached","Límite de población alcanzado"
"Missing %1","Falta: %1"
"Economy guide","Guía de economía"
"Resources and Building","Recursos y construcción"
"Close the economy guide","Cerrar la guía de economía"
"Gather with builders, spend what they bring on structures, recruit from a barracks, and keep both running.","Recoge con constructores, gasta lo que traen en estructuras, recluta en un cuartel y mantén ambas cosas en marcha."
"WHAT EACH RESOURCE IS FOR","PARA QUÉ SIRVE CADA RECURSO"
"Spent on: %1","Se gasta en: %1"
"WHAT A BUILDER CAN RAISE","QUÉ PUEDE LEVANTAR UN CONSTRUCTOR"
"%1 — %2 · %3s","%1: %2 · %3 s"
"WHAT A BARRACKS CAN RECRUIT","QUÉ PUEDE RECLUTAR UN CUARTEL"
"%1 — %2 population, %3 · %4s","%1: %2 de población, %3 · %4 s"
"Back to the battle","Volver a la batalla"
"Population %1 / %2. A Home raises civilians for %3 food each; walking a civilian into a barracks adds %4 manpower. Farms ripen every %5s and sheep yield %6 food.","Población %1 / %2. Una casa cría civiles por %3 de comida cada uno; llevar un civil a un cuartel añade %4 efectivos. Las granjas maduran cada %5 s y una oveja rinde %6 de comida."
"Needs a home","Necesita una casa"
"Standard","Estándar"
"Iron and Ember","Hierro y brasa"
"Roman Republic","República romana"
"Senatus Populusque Romanus","Senatus Populusque Romanus"
"Carthage","Cartago"
"Qart-Ḥadašt","Qart-Ḥadašt"
"Iron Sepulcher","Sepulcro de Hierro"
"The watch does not sleep","La guardia no duerme"
"Barracks","Cuartel"
"Defense tower","Torre defensiva"
"Home","Casa"
"Wall","Muralla"
"Gate","Puerta"
"Marketplace","Mercado"
"Temple","Templo"
"Farm","Granja"
"No units selected.","No hay unidades seleccionadas."
"No units eligible for formation placement.","No hay unidades aptas para el despliegue en formación."
"This doctrine has no template for the chosen formation.","Esta doctrina no tiene plantilla para la formación elegida."
"No part of this formation fits on the chosen ground.","Ninguna parte de esta formación cabe en el terreno elegido."
"Faction Default","Predeterminado de la facción"
"Line","Línea"
"Column","Columna"
"Defensive","Defensivo"
"Assault","Asalto"
"Encirclement","Envolvimiento"
"Siege Escort","Escolta de asedio"
"Neutral","Neutral"
"Roman Republic","República romana"
"Requires at least one siege engine in the selection.","Requiere al menos una máquina de asedio en la selección."
"Requires cavalry or mounted troops to close the encirclement.","Requiere caballería o tropas montadas para cerrar el envolvimiento."
"Carthage","Cartago"
"The Iron Sepulcher","El Sepulcro de Hierro"
"%1 has no template for this intent.","%1 no tiene plantilla para este propósito."
"The selection lacks the troop types this formation needs.","A la selección le faltan los tipos de tropa que esta formación necesita."
"Encirclement needs at least three units.","El envolvimiento necesita al menos tres unidades."
"Forming up","Formando"
"Formed","Formada"
"Disrupted","Desbaratada"
"Breaking","Quebrándose"
"The deployment this faction fights in by default. No setup needed.","El despliegue con el que esta facción combate por defecto. No requiere preparación."
"Widest frontage. Best for meeting an advance head on.","Frente más amplio. Ideal para recibir un avance de frente."
"Narrow and deep. Best for moving through gates and passes.","Estrecha y profunda. Ideal para atravesar puertas y desfiladeros."
"Compressed frontage with reserves. Best for holding ground.","Frente comprimido con reservas. Ideal para mantener el terreno."
"Weighted front with skirmishers ahead. Best for breaking a line.","Frente reforzado con hostigadores delante. Ideal para quebrar una línea."
"Wide flanks that close around a target. Needs cavalry.","Flancos amplios que se cierran sobre un objetivo. Necesita caballería."
"Engines protected behind infantry. Needs a siege engine.","Máquinas protegidas tras la infantería. Necesita una máquina de asedio."
"Frontage","Frente"
"Narrow","Estrecho"
"Balanced","Equilibrado"
"Wide","Amplio"
"Depth","Profundidad"
"Shallow","Somera"
"Deep","Profunda"
"Spacing","Separación"
"Tight","Cerrada"
"Normal","Normal"
"Loose","Abierta"
"Left","Izquierda"
"Split","Repartida"
"Right","Derecha"
"None","Ninguna"
"One row","Una fila"
"Two rows","Dos filas"
"Mixed armies","Ejércitos mixtos"
"By role","Por función"
"Separate contingents","Contingentes separados"
"Doctrine","Doctrina"
"Reset to faction default","Restablecer al valor de la facción"
"%1 m","%1 m"
"Choose a formation","Elige una formación"
"%1 · %2 units","%1 · %2 unidades"
"Shape","Forma"
"%1 × %2","%1 × %2"
"In place","En posición"
"%1 position(s) nudged to fit the ground.","%1 posición(es) ajustada(s) para encajar en el terreno."
"Drag on the ground to set width and facing.","Arrastra sobre el terreno para fijar la anchura y la orientación."
"Click to deploy · Wheel to turn · Ctrl+wheel for depth · Right-click or Esc to cancel","Clic para desplegar · Rueda para girar · Ctrl+rueda para la profundidad · Clic derecho o Esc para cancelar"
"Hide fine tuning","Ocultar ajuste fino"
"Fine tuning","Ajuste fino"
"How wide the deployment spreads before it starts adding ranks behind.","Cuánto se extiende el despliegue antes de empezar a añadir filas detrás."
"How many ranks stand behind the front. Deeper hits harder but covers less ground.","Cuántas filas se sitúan tras el frente. Más profundo golpea más fuerte pero cubre menos terreno."
"The gap between units. Tight holds shape better; loose loses less to area attacks.","La separación entre unidades. Cerrada mantiene mejor la forma; abierta pierde menos ante ataques de área."
"Which wing the cavalry weights. Split puts an equal body on each wing.","En qué ala se concentra la caballería. Repartida coloca un cuerpo igual en cada ala."
"Cavalry wing","Ala de caballería"
"Where archers and slingers stand. Skirmish sends them out ahead and pulls them back on contact.","Dónde se sitúan arqueros y honderos. Hostigar los envía por delante y los repliega al contacto."
"Missile troops","Tropas de proyectiles"
"In front","Delante"
"Behind","Detrás"
"Skirmish ahead","Hostigar por delante"
"Rows held back from the fighting line to plug gaps.","Filas retenidas tras la línea de combate para tapar huecos."
"Reserve rows","Filas de reserva"
"Doctrine decides","Lo decide la doctrina"
"Reform is faster and copes with chokepoints. Maintain keeps the shape on the march but moves slower.","Reformar es más rápido y sortea los pasos estrechos. Mantener conserva la forma en marcha pero avanza más despacio."
"On the march","En marcha"
"Reform on arrival","Reformar al llegar"
"Hold the shape","Mantener la forma"
"How a selection drawn from several factions is arranged.","Cómo se ordena una selección tomada de varias facciones."
"Follow the commander","Seguir al comandante"
"Follow the majority","Seguir a la mayoría"
"Sorting groups the same troop types together. Keeping the order leaves each unit where it already stands in the line.","Ordenar agrupa los mismos tipos de tropa. Conservar el orden deja cada unidad donde ya está en la línea."
"Slot order","Orden de puestos"
"Sort by type","Ordenar por tipo"
"Keep current order","Conservar el orden actual"
"Which drill book shapes the deployment. Automatic follows the troops you selected.","Qué manual de instrucción da forma al despliegue. Automático sigue a las tropas que has seleccionado."
"%1°","%1°"
"Drag to face the unit · Release to move it","Arrastra para orientar la unidad · Suelta para moverla"
"Wheel to turn · Esc to cancel","Rueda para girar · Esc para cancelar"
"Drag to face the formation · Release to deploy","Arrastra para orientar la formación · Suelta para desplegar"
"Wheel to turn · Ctrl+wheel for depth · Esc to cancel","Rueda para girar · Ctrl+rueda para la profundidad · Esc para cancelar"
"Drag on the ground to set facing · Click to move","Arrastra sobre el terreno para fijar la orientación · Clic para mover"
"Wheel to turn · Right-click or Esc to cancel","Rueda para girar · Clic derecho o Esc para cancelar"
"Position %1","Posicionar %1"
"Position unit","Posicionar unidad"
"Facing","Orientación"
"Facing (auto)","Orientación (auto)"
"Formed","Formada"
"Disrupted","Desbaratada"
"Breaking","Quebrándose"
"Forming up","Formando"
"The line is holding its shape and takes reduced damage.","La línea mantiene su forma y recibe menos daño."
"The line has come apart and is taking extra damage. Re-issue the formation order to reform.","La línea se ha deshecho y recibe daño adicional. Repite la orden de formación para reformarla."
"The formation is breaking up.","La formación se está deshaciendo."
"Units are still moving into their slots.","Las unidades aún se dirigen a sus puestos."
"Cohesion %1%","Cohesión %1%"
"%1 units","%1 unidades"
"Selection spans several formations.","La selección abarca varias formaciones."
"%1 slot(s) blocked by terrain.","%1 puesto(s) bloqueado(s) por el terreno."
"Standard of Iron — Iron and Ember Gallery","Standard of Iron — Galería Hierro y Brasa"
"Scale","Escala"
"Reduce motion","Reducir el movimiento"
"High contrast","Alto contraste"
"Reset","Restablecer"
"Iron and Ember — every control the product may use","Hierro y Brasa — todos los controles que el producto puede usar"
"Cannot save: empty slot name","No se puede guardar: nombre de ranura vacío"
"Save service is shutting down","El servicio de guardado se está cerrando"
"Queued","En cola"
"Serializing world","Serializando el mundo"
"Compressing","Comprimiendo"
"Writing","Escribiendo"
"Exception while saving: %1","Excepción al guardar: %1"
"Save cancelled","Guardado cancelado"
